file,method,n_peaks,pipe_rr,dev_rr,ratio,cv,rmssd
1789/2026-08-17_08.csv,neurokit,2517,725.4590701947369,736.2,0.9854103099629677,0.2190965064017972,217.5134154388416
1789/2026-08-17_08.csv,pantompkins1985,1093,680.81543510583,736.2,0.9247696755037083,0.24574407226685088,226.2429692337531
1789/2026-08-17_08.csv,hamilton2002,2235,714.2981614225101,736.2,0.9702501513481528,0.29921401563390004,273.35034305902104
1789/2026-08-17_08.csv,elgendi2010,2767,658.4936175613766,736.2,0.8944493582740785,0.3197790119212159,280.49883601768073
1789/2026-08-17_08.csv,christov2004,4932,401.79271580016194,736.2,0.545765710133336,0.3037035366739666,171.25728871296303
1789/2026-08-17_08.csv,engzeemod2012,3863,569.2063473835627,736.2,0.7731680893555593,0.3756728129868159,314.98471979016244
1789/2026-08-17_08.csv,kalidas2017,2589,691.9763438780567,736.2,0.939929834118523,0.31128484860582994,272.5060729302945
1789/2026-08-17_08.csv,rodrigues2021,2385,758.941796511417,736.2,1.0308907858074123,0.2764669628760582,281.17041227861944
1789/2026-08-20_10.csv,neurokit,2276,702.318703401264,727.45,0.9654528880352793,0.16911317492282812,160.91870305949016
1789/2026-08-20_10.csv,pantompkins1985,2187,702.318703401264,727.45,0.9654528880352793,0.23749262672575647,229.49469920463443
1789/2026-08-20_10.csv,hamilton2002,2182,702.318703401264,727.45,0.9654528880352793,0.23776103604116847,229.41872365729998
1789/2026-08-20_10.csv,elgendi2010,2361,691.1707874742598,727.45,0.9501282390188462,0.22995228685650584,211.85243226187978
1789/2026-08-20_10.csv,christov2004,4558,390.1770574451466,727.45,0.5363627155751551,0.31968319482918445,125.55206619186067
1789/2026-08-20_10.csv,engzeemod2012,3092,590.839544131222,727.45,0.8122063978709493,0.30648082760414924,219.9353967944553
1789/2026-08-20_10.csv,kalidas2017,2162,702.318703401264,727.45,0.9654528880352793,0.2455792238833922,236.56806423025213
1789/2026-08-20_10.csv,rodrigues2021,2162,713.4666193282682,727.45,0.9807775370517123,0.23548078594501595,232.5553781431382
1789/2026-08-09_14.csv,neurokit,3239,705.9081792445612,721.665,0.9781660178123662,0.1462470955078173,151.9738255933897
1789/2026-08-09_14.csv,pantompkins1985,3062,705.9081792445612,721.665,0.9781660178123662,0.23712270880042344,235.04635288055397
1789/2026-08-09_14.csv,hamilton2002,3051,705.9081792445612,721.665,0.9781660178123662,0.23758916589807796,235.00565624478656
1789/2026-08-09_14.csv,elgendi2010,3334,694.7032875105206,721.665,0.9626395730851858,0.22935789759030895,214.60323142399142
1789/2026-08-09_14.csv,christov2004,5704,414.5809941595042,721.665,0.5744784549056754,0.3301203089841426,139.33101063463928
1789/2026-08-09_14.csv,engzeemod2012,3751,683.4983957764799,721.665,0.9471131283580054,0.29633118258237034,234.36659182520165
1789/2026-08-09_14.csv,kalidas2017,3044,705.9081792445612,721.665,0.9781660178123662,0.24517033158986118,243.80323448140703
1789/2026-08-09_14.csv,rodrigues2021,3056,705.9081792445612,721.665,0.9781660178123662,0.2341951531111341,231.8914889871547
1793/2026-08-08_07.csv,neurokit,2454,759.6847070685247,777.9649999999999,0.9765024224335604,0.1928424274992477,190.59698211229912
1793/2026-08-08_07.csv,pantompkins1985,608,793.2002088509597,777.9649999999999,1.0195834116585705,0.2629578229558632,296.0879261439059
1793/2026-08-08_07.csv,hamilton2002,607,793.2002088509597,777.9649999999999,1.0195834116585705,0.262315002335277,284.68250340956
1793/2026-08-08_07.csv,elgendi2010,2522,748.5128731410465,777.9649999999999,0.9621420926918904,0.24077962655639396,235.63573169833816
1793/2026-08-08_07.csv,christov2004,2671,726.1692052860899,777.9649999999999,0.9334214332085504,0.3108497289704502,250.68165574439504
1793/2026-08-08_07.csv,engzeemod2012,2414,759.6847070685247,777.9649999999999,0.9765024224335604,0.30948065541200354,309.6891275118472
1793/2026-08-08_07.csv,kalidas2017,593,793.2002088509597,777.9649999999999,1.0195834116585705,0.2789626612867508,321.6732499402822
1793/2026-08-08_07.csv,rodrigues2021,2228,782.0283749234814,777.9649999999999,1.0052230819169004,0.31798972398795794,314.11183329591404
1793/2026-08-08_10.csv,neurokit,2028,791.185005584577,814.78,0.9710412695262243,0.18509451532053575,205.03784949827667
1793/2026-08-08_10.csv,pantompkins1985,1813,791.185005584577,814.78,0.9710412695262243,0.2712660537269923,291.84371593110575
1793/2026-08-08_10.csv,hamilton2002,1959,802.3284563674583,814.78,0.9847179071251851,0.2748269347486103,297.4269892120242
1793/2026-08-08_10.csv,elgendi2010,2189,746.6112024530515,814.78,0.9163347191303807,0.30781947645394225,311.78897853415447
1793/2026-08-08_10.csv,christov2004,5662,601.7463422755937,814.78,0.7385384303438889,0.41152959840453457,203.00870538118622
1793/2026-08-08_10.csv,engzeemod2012,1955,802.3284563674583,814.78,0.9847179071251851,0.31210077052375956,349.09481410796445
1793/2026-08-08_10.csv,kalidas2017,1533,791.185005584577,814.78,0.9710412695262243,0.30505603370172957,329.3981363197113
1793/2026-08-08_10.csv,rodrigues2021,1945,802.3284563674583,814.78,0.9847179071251851,0.26001546532479375,289.42400781557427
1794/2026-08-07_10.csv,neurokit,1762,725.6387156997429,724.34,1.0017929642153447,0.28613672057697237,276.1995049118672
1794/2026-08-07_10.csv,pantompkins1985,1192,714.4750431505161,724.34,0.986380764765878,0.31903104221283807,288.0163750607159
1794/2026-08-07_10.csv,hamilton2002,1367,725.6387156997429,724.34,1.0017929642153447,0.3335406742906564,308.7913448482938
1794/2026-08-07_10.csv,elgendi2010,1852,647.4930078551553,724.34,0.893907568069077,0.4006114325291639,378.1896264826916
1794/2026-08-07_10.csv,christov2004,1899,647.4930078551553,724.34,0.893907568069077,0.33022261164277256,250.9032748409099
1794/2026-08-07_10.csv,engzeemod2012,1550,703.3113706012892,724.34,0.9709685653164111,0.4094716341878525,386.485510417295
1794/2026-08-07_10.csv,kalidas2017,1064,736.8023882489697,724.34,1.0172051636648116,0.33569627465411894,336.59808696248325
1794/2026-08-07_10.csv,rodrigues2021,1467,747.9660607981965,724.34,1.0326173631142785,0.29225391968796016,293.65516079358355
1794/2026-08-09_13.csv,neurokit,2158,730.6462362695356,763.59,0.9568567376072704,0.17536331290325144,154.37093413931166
1794/2026-08-09_13.csv,pantompkins1985,2076,741.716633788771,763.59,0.9713545669649563,0.25197211651621754,235.8600769554987
1794/2026-08-09_13.csv,hamilton2002,2064,741.716633788771,763.59,0.9713545669649563,0.2576336765163036,243.24338840159822
1794/2026-08-09_13.csv,elgendi2010,2159,730.6462362695356,763.59,0.9568567376072704,0.2434008581561339,233.1610428146809
1794/2026-08-09_13.csv,christov2004,2369,730.6462362695356,763.59,0.9568567376072704,0.26085209017637123,222.1931028083417
1794/2026-08-09_13.csv,engzeemod2012,1991,741.716633788771,763.59,0.9713545669649563,0.2799590695627848,286.0326085819676
1794/2026-08-09_13.csv,kalidas2017,2055,741.716633788771,763.59,0.9713545669649563,0.26421305656229394,253.47909228226516
1794/2026-08-09_13.csv,rodrigues2021,2064,741.716633788771,763.59,0.9713545669649563,0.24823038484974908,240.95849452588024
1049/2026-08-08_06.csv,neurokit,1624,734.9435296129835,736.15,0.9983611079440108,0.17463456697201868,178.50785113597112
1049/2026-08-08_06.csv,pantompkins1985,1533,734.9435296129835,736.15,0.9983611079440108,0.24916704981115134,260.007996208854
1049/2026-08-08_06.csv,hamilton2002,1557,734.9435296129835,736.15,0.9983611079440108,0.25298245776168576,261.99420128904586
1049/2026-08-08_06.csv,elgendi2010,1662,723.8080215885444,736.15,0.9832344244903137,0.21175506132197414,217.2208259223525
1049/2026-08-08_06.csv,christov2004,1577,734.9435296129835,736.15,0.9983611079440108,0.24773477315311312,252.2153127809069
1049/2026-08-08_06.csv,engzeemod2012,1578,746.0790376374227,736.15,1.013487791397708,0.2765433219103696,279.6357309947788
1049/2026-08-08_06.csv,kalidas2017,1351,734.9435296129835,736.15,0.9983611079440108,0.2641093569547301,275.4404389200824
1049/2026-08-08_06.csv,rodrigues2021,1551,746.0790376374227,736.15,1.013487791397708,0.24224146782784797,253.95268746150364
