path,sha256,subject,n_samples,span_s,fs_effective,fs_median_dt,n_unique_ts,duplicate_fraction,amp_min,amp_max,monotonic,n_backward_steps,max_gap_s
prorithm_ecg/1793/2026-08-08_10.csv,b47f8c2950d74dc907bf138cf4995387058b8dd3ad340b6a043ea27f925cca4d,1793,354477,2887.634,122.75690063214383,inf,156430,0.5587019750223569,-486.744140625,620.8125,False,83,14.818
prorithm_ecg/1793/2026-08-08_11.csv,cd59433bc58e7ab391aa56292d79fe8fb5fe7a73a946781d35226ebd335fa7da,1793,56785,452.771,125.41660132826527,1000.0,33017,0.41856123976402215,-1439.548583984375,812.6882934570312,False,15,18.028
prorithm_ecg/1793/2026-08-09_16.csv,fd89da14fa9c08aad356f5bf1d5040c8c39981e6498f95e5c9d37c7062a0bb4b,1793,187047,1361.38,137.39514316355462,inf,76552,0.5907338797200703,-770.4931640625,872.9019775390625,False,62,39.92
prorithm_ecg/1793/2026-08-09_17.csv,097fcd89061836229b8a997d8e214572c5bcacf7c734f6a7b2e7818c737fa19f,1793,336497,2190.851,153.59191473998004,inf,149280,0.5563704877012277,-898.0007934570312,922.0259399414062,False,118,0.298
prorithm_ecg/1793/2026-08-10_05.csv,0a01d2506875033d8726569fd7377dc3db9438fabdb3b05a44c890953149d2ab,1793,69036,925.669,74.57957434028795,1000.0,36368,0.47320238716032215,-622.5840454101562,598.989501953125,False,18,395.349
prorithm_ecg/1794/2026-08-07_08.csv,66d734ac3ad6401da05c0cc8637a374b00bf167c4be59b8262418a94fbb62323,1794,185539,2163.66,85.7523825369975,inf,74296,0.5995666679242639,-966.0516967773438,965.7726440429688,False,68,695.613
prorithm_ecg/1794/2026-08-07_09.csv,ae4f526f362141d30f848a1842aa708c600cf33890dfc9b2788b9ee825f5e985,1794,201732,3587.938,56.225051826425094,1000.0,140714,0.3024706045644717,-836.4786987304688,998.856201171875,False,12,1323.049
prorithm_ecg/1794/2026-08-07_10.csv,4a7e430e04dce10ae6e993b16bf71c2a8800ca9de6b0cb3df13a479d24637415,1794,302729,3220.727,93.99399576555231,1000.0,213058,0.29620882043015373,-720.5826416015625,876.4479370117188,False,18,13.398
prorithm_ecg/1794/2026-08-09_11.csv,698e91df1a17ef236cba4cccb25bffb4b069c9affa07a91afabfd077efe31bee,1794,124310,812.639,152.97075331112586,inf,34950,0.7188480411873541,-432.6230163574219,480.5896911621094,False,43,0.229
prorithm_ecg/1794/2026-08-09_12.csv,674f206a2f41d228d9c62c9f45d589b5284cfc7b924722891ad75709cd1fc537,1794,437054,2659.29,164.34988286347107,inf,109955,0.7484178156474943,-272.85565185546875,405.1290893554688,False,182,157.308
prorithm_ecg/1794/2026-08-09_13.csv,0b6bf7ec2e1a99501fc18631ac0e386a979eabfd725db0eee69df3fe7fea993c,1794,504376,3603.8,139.9567123591764,inf,132373,0.737550954050153,-598.5797729492188,582.5953979492188,False,189,458.562
prorithm_ecg/1794/2026-08-09_14.csv,e0482421d538e0b5b09d7fb448122de7c460f81af79df68f70d064d2865d6fa6,1794,478417,3597.142,132.99919769639342,inf,199021,0.584000986587015,-1067.4091796875,969.24560546875,False,192,474.323
prorithm_ecg/1794/2026-08-09_15.csv,4d465483e822956157827c8cad2294c05a5f97d471485bce06e13ca6bbbf4b20,1794,24864,222.617,111.68958345499222,1000.0,15217,0.3879906692406693,-774.9071655273438,594.7732543945312,False,4,0.2
prorithm_ecg/1794/2026-08-09_16.csv,8dfa2945dc885fbfd5a876d55a5b4a0da7c052948f5926d504984cf9ac047120,1794,181197,1389.692,130.38644534184553,1000.0,111658,0.38377566957510334,-666.6380615234375,634.2205200195312,False,47,0.323
prorithm_ecg/1794/2026-08-09_17.csv,51d4113da861784a2add84b404336c80143a2b159d599addf3b9eb57662ea805,1794,309040,2163.172,142.86427524024904,1000.0,177440,0.42583484338596944,-596.375732421875,595.5263671875,False,97,13.266
prorithm_ecg/1794/2026-08-10_05.csv,ecf5b511b90037d86e4034a192df51ca7203823fd868c63c688fc676605bcf1d,1794,228635,1840.26,124.24059643745993,inf,84445,0.6306558488420408,-475.3342590332031,566.7070922851562,False,84,380.389
